league,season,position,team,team,matches,wins,draws,loses,scored,missed,pts,xG,xG_diff,npxG,xGA,xGA_diff,npxGA,npxGD,ppda_coef,oppda_coef,deep,deep_allowed,xpts,xpts_diff
La_liga,2015,12,Barcelona,Barcelona,38,29.0,4.0,5.0,112.0,29.0,91.0,113.59827,1.5982699999999994,99.47702,34.029090100000005,5.029090100000005,33.2859401,66.1910799,6.012151909468335,15.064389542698626,570.0,163.0,94.38,3.3799999999999955
La_liga,2015,13,Sporting Gijon,Sporting Gijon,38,10.0,9.0,19.0,40.0,62.0,39.0,42.5678716,2.5678715999999966,40.98176659999999,60.616727000000004,-1.3832729999999955,53.043757,-12.061990399999997,11.566715504623806,6.814093478366836,132.0,265.0,40.6074,1.6073999999999984
La_liga,2015,14,Real Madrid,Real Madrid,38,28.0,6.0,4.0,110.0,34.0,90.0,90.454148,-19.545851999999996,83.76463799999999,45.23378199999999,11.23378199999999,42.260670999999995,41.503966999999996,9.251966893412055,14.571880585412604,404.0,211.0,79.09270000000001,-10.907299999999992
La_liga,2015,15,Levante,Levante,38,8.0,8.0,22.0,37.0,70.0,32.0,39.22221329999999,2.222213299999993,37.735650299999996,63.545101,-6.4548989999999975,58.242861,-20.507210699999998,10.851727587375509,7.5910244975095775,169.0,272.0,37.3269,5.326900000000002
La_liga,2015,16,Celta Vigo,Celta Vigo,38,17.0,9.0,12.0,51.0,59.0,60.0,50.20347000000001,-0.79652999999999,46.487210000000005,51.98172580000001,-7.018274199999993,48.265454800000015,-1.7782448000000013,6.435314606547314,11.222888296863319,321.0,245.0,53.080999999999996,-6.919000000000004
La_liga,2015,17,Real Betis,Real Betis,38,11.0,12.0,15.0,34.0,52.0,45.0,40.112455100000005,6.112455100000005,37.1393511,64.394609,12.394609000000003,63.651329000000004,-26.511977899999998,11.124883653663153,6.627317033432557,152.0,283.0,40.488,-4.5120000000000005
La_liga,2015,18,Villarreal,Villarreal,38,18.0,10.0,10.0,44.0,35.0,64.0,40.488814,-3.511186000000002,38.258973000000005,41.630788,6.630788000000003,39.400958,-1.1419849999999996,9.924385958226543,9.034771594108912,188.0,215.0,52.1071,-11.892899999999997
La_liga,2015,19,Granada,Granada,38,10.0,9.0,19.0,46.0,69.0,39.0,41.353233,-4.646766999999997,36.15041899999999,62.374919999999996,-6.625080000000004,58.65852399999999,-22.508105,8.9992449432851,7.241976115576661,117.0,268.0,38.4994,-0.5005999999999986
La_liga,2015,20,Eibar,Eibar,38,11.0,10.0,17.0,49.0,61.0,43.0,52.916666,3.9166659999999993,46.843993,50.580983,-10.419016999999997,47.45241999999999,-0.6084270000000003,7.804410334637706,7.974348621324925,191.0,218.0,54.02529999999999,11.025299999999987
La_liga,2021,1,Sevilla,Sevilla,38,18.0,16.0,4.0,53.0,30.0,70.0,46.853465,-6.146535,44.620113,40.5967024,10.596702399999998,37.6201624,6.9999506,9.467663544281459,15.144659467114653,192.0,184.0,56.99909999999999,-13.000900000000009
La_liga,2021,2,Real Sociedad,Real Sociedad,38,17.0,11.0,10.0,40.0,37.0,62.0,56.085362,16.085362000000003,48.64916,41.51302399999999,4.513023999999987,37.053343999999996,11.595816000000001,9.153002819713985,12.6041171374157,268.0,189.0,64.0247,2.0246999999999957
La_liga,2021,3,Espanyol,Espanyol,38,10.0,12.0,16.0,40.0,53.0,42.0,38.899524,-1.1004760000000005,35.18313,57.11835500000001,4.118355000000008,53.40197200000001,-18.218842,14.141128149446654,9.532117563417705,150.0,311.0,40.029799999999994,-1.9702000000000055
La_liga,2021,4,Getafe,Getafe,38,8.0,15.0,15.0,33.0,41.0,39.0,31.554126,-1.4458739999999999,27.712816999999998,44.491887000000006,3.4918870000000055,41.51877400000001,-13.805956999999998,12.462728326372773,8.619662394756816,125.0,185.0,42.87330000000001,3.8733000000000075
